event,table,Date,Time,home_team,away_team,home_score,away_score,home_seed,away_seed
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Sat 5/28,2:30 PM,Wisconsin (6),Harvard (10),15,6,6,10
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/27,8:30 AM,Pittsburgh (5),Auburn (16),13,15,5,16
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/27,8:30 AM,Carleton College (9),Utah (20),15,6,9,20
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/27,12:30 PM,Minnesota (4),Utah (20),15,8,4,20
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/27,12:30 PM,Carleton College (9),Auburn (16),16,15,9,16
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Fri 5/27,4:30 PM,Minnesota (4),Pittsburgh (5),13,15,4,5
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/28,8:30 AM,Minnesota (4),Carleton College (9),15,11,4,9
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/28,8:30 AM,Auburn (16),Utah (20),15,12,16,20
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/28,10:30 AM,Pittsburgh (5),Utah (20),15,7,5,20
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/28,12:30 PM,Minnesota (4),Auburn (16),13,14,4,16
USA-Ultimate-D-I-College-Championships-2016/schedule/Men/CollegeMen/,Pool D Schedule & Scores,Sat 5/28,12:30 PM,Pittsburgh (5),Carleton College (9),15,10,5,9
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,10:30 AM,Massachusetts (1),Washington (8),14,12,1,8
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,10:30 AM,Stanford (12),Colorado State (13),15,11,12,13
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,2:30 PM,Washington (8),Colorado State (13),15,10,8,13
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,2:30 PM,Stanford (12),Cal Poly-SLO (17),12,10,12,17
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Fri 5/26,4:30 PM,Massachusetts (1),Cal Poly-SLO (17),15,12,1,17
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,8:30 AM,Massachusetts (1),Stanford (12),14,11,1,12
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,8:30 AM,Washington (8),Cal Poly-SLO (17),14,16,8,17
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,12:30 PM,Massachusetts (1),Colorado State (13),15,10,1,13
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,12:30 PM,Washington (8),Stanford (12),15,12,8,12
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool A Schedule & Scores,Sat 5/27,2:30 PM,Colorado State (13),Cal Poly-SLO (17),11,15,13,17
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,8:30 AM,Pittsburgh (2),Connecticut (18),15,5,2,18
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,8:30 AM,Michigan (7),Texas A&M; (14),15,7,7,14
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,12:30 PM,Pittsburgh (2),Michigan (7),15,8,2,7
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,12:30 PM,North Carolina-Wilmington (11),Texas A&M; (14),15,8,11,14
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Fri 5/26,4:30 PM,North Carolina-Wilmington (11),Connecticut (18),15,12,11,18
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,10:30 AM,Pittsburgh (2),North Carolina-Wilmington (11),13,15,2,11
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,10:30 AM,Michigan (7),Connecticut (18),14,13,7,18
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,12:30 PM,Texas A&M; (14),Connecticut (18),14,11,14,18
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,2:30 PM,Michigan (7),North Carolina-Wilmington (11),7,15,7,11
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool B Schedule & Scores,Sat 5/27,2:30 PM,Pittsburgh (2),Texas A&M; (14),13,10,2,14
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,10:30 AM,Carleton College (6),Auburn (15),15,8,6,15
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,10:30 AM,Colorado (10),Oregon State (19),15,12,10,19
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,2:30 PM,North Carolina (3),Carleton College (6),15,10,3,6
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,2:30 PM,Colorado (10),Auburn (15),13,14,10,15
2017-USA-Ultimate-College-Championships/schedule/Men/CollegeMen/,Pool C Schedule & Scores,Fri 5/26,4:30 PM,North Carolina (3),Oregon State (19),14,6,3,19
