Rank,Team,Power Rating,Competition Level,Gender Division,Competition Division,City,State,Wins,Losses,dataset_id,season
139,Temple ,1149,College,Men,Division I,Philadelphia,PA,15,19,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
140,Florida B ,1148,College,Men,Developmental,Gainesville,FL,17,4,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
141,Mississippi State ,1147,College,Men,Division I,Starkville,MS,14,15,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
142,Whitworth ,1147,College,Men,Division III,Spokane,WA,11,5,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
143,Oklahoma ,1145,College,Men,Division I,Norman,OK,18,20,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
144,Middlebury ,1134,College,Men,Division III,Middlebury,VT,14,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
145,Houston ,1132,College,Men,Division I,Houston,TX,22,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
146,Bowdoin ,1128,College,Men,Division III,Brunswick,ME,16,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
147,Wisconsin-Whitewater ,1116,College,Men,Division I,Whitewater,WI,12,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
148,Rice ,1112,College,Men,Division III,Houston,TX,14,8,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
149,Michigan State ,1108,College,Men,Division I,East Lansing,MI,6,15,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
150,Connecticut College ,1099,College,Men,Division III,New London,CT,13,5,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
151,Northern Arizona ,1095,College,Men,Division I,Flagstaff,AZ,13,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
152,UCLA ,1093,College,Men,Division I,Los Angeles,CA,6,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
153,Wisconsin-Platteville ,1088,College,Men,Division III,Platteville,WI,9,2,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
154,Eastern Illinois ,1079,College,Men,Division I,Charleston,IL,17,12,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
155,Carnegie Mellon ,1079,College,Men,Division I,Pittsburgh,PA,18,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
156,NYU ,1079,College,Men,Division I,New York,NY,24,4,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
157,Tennessee ,1079,College,Men,Division I,Knoxville,TN,9,14,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
158,Texas A&M B ,1077,College,Men,Developmental,College Station,TX,17,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
159,Texas Tech ,1074,College,Men,Division I,Lubbock,TX,17,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
160,Vanderbilt ,1072,College,Men,Division I,Nashville,TN,10,9,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
161,Alabama-Huntsville ,1067,College,Men,Division III,Huntsville,AL,25,15,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
162,Wisconsin B ,1065,College,Men,Developmental,Madison,WI,21,13,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
163,Mary Washington ,1058,College,Men,Division III,Fredericksburg,VA,12,10,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
164,Miami ,1051,College,Men,Division I,Coral Gables,FL,10,16,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
165,Akron ,1048,College,Men,Division I,Akron,OH,10,11,D97nl6Hr63Ip0qKyPyFqnf%2bCzVCqonUm8mMti7DMikA%3d,2016_college
